Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,5,0.22497419543369263,0.8692,4.991769547325103,0.40199419599167774,0.013311737752612251,0.003215783744173231,0.1374795326044927,0.05041947475542489,nan,nan,nan,nan,nan,nan,19.94535628778274,
distributed,0,0,7,0.22395059075044324,0.8715,6.983333333333333,0.21440801063471832,0.013193104914702587,0.002563636799160121,0.14029120395102182,0.05890293214650334,nan,nan,nan,nan,nan,nan,19.977724407791705,
distributed,0,0,10,0.22308663659732847,0.8727,9.988621997471554,0.9999218719480037,0.01303751129679322,0.002252373474977312,0.12301398530865515,0.05712306195770748,nan,nan,nan,nan,nan,nan,20.177655774122204,
distributed,0,0,20,0.22289064660243746,0.8732,19.948846539618856,0.42,0.01328104898620172,0.0017090332384173041,0.13416577304904892,0.05409070603051876,nan,nan,nan,nan,nan,nan,19.947834974668226,
distributed,0,0,30,0.22274205115602874,0.8755,29.976441917140537,4.421204830608396,0.012498665046982943,0.0020282209696205235,0.10193306243043813,0.048037146735253056,nan,nan,nan,nan,nan,nan,19.943623774674926,
distributed,0,0,50,0.22230072659899744,0.8752,49.962336664104534,9.253776154298016,0.013149038671188499,0.00200876386182738,0.12643107937941117,0.0792556945572483,nan,nan,nan,nan,nan,nan,20.08797449085599,
distributed,0,0,70,0.2223353027516655,0.8744,69.2189349112426,10.461357464497617,0.01314533310894005,0.000667014490361364,0.10998429962406805,0.05788312381970157,nan,nan,nan,nan,nan,nan,19.98048102754261,
distributed,0,0,100,0.22225371969689772,0.8753,99.00423429781227,20.70383754014914,0.0127456104802262,0.0007492188368255606,0.1172685875142088,0.06217901140287613,nan,nan,nan,nan,nan,nan,19.98584643085526,
distributed,0,1,-1,0.23186037288961325,0.8597,1.9519650655021834,0.56018145008185,0.013094341068612618,0.005180605008289244,0.13357431843097364,0.05675589137378273,18.036750907862082,5.394759224804729,1.3109138340179411,0.18341242491324544,1.1386808386186251,0.2544120930470458,20.196369687817,
distributed,0,1,1,0.23857193746088384,0.8517,1.0,0.0,0.0133401671248199,0.006572590454082234,0.12900068951992355,0.04964574408027533,nan,nan,nan,nan,nan,nan,20.07006078690883,
distributed,0,1,2,0.2311933276138438,0.8593,1.99581589958159,0.09090593428863095,0.013029820532647516,0.004444751992622954,0.14123058257656068,0.04909096228129742,nan,nan,nan,nan,nan,nan,20.06211087446434,
distributed,0,1,3,0.22803622831966344,0.8621,2.9943181818181817,0.18333311570155877,0.012566172250148451,0.004189264524537214,0.13109058803586218,0.05836722909878564,nan,nan,nan,nan,nan,nan,19.901501437601752,
distributed,0,1,5,0.22676604458334984,0.8651,4.991683991683992,0.40403954520134894,0.013418865360934933,0.002991538055080777,0.14022628350085425,0.05322571348253451,nan,nan,nan,nan,nan,nan,20.079983077709198,
distributed,0,1,7,0.22620793467577188,0.8669,6.990384615384615,0.6289320754704403,0.012575981376091769,0.002302189370118864,0.13451382327008027,0.05260413642333366,nan,nan,nan,nan,nan,nan,19.96767315789204,
distributed,0,1,10,0.22680513201322217,0.8666,9.988173455978975,1.0189633893991186,0.012919910608915256,0.0018287528709654505,0.13299696394129537,0.06065494943311319,nan,nan,nan,nan,nan,nan,20.088107650480314,
distributed,0,1,20,0.22862250561369496,0.8645,19.949852507374633,0.4159451654038515,0.013073868435914958,0.001522418268739222,0.12948939864924694,0.051779853409088666,nan,nan,nan,nan,nan,nan,19.899450611252846,
distributed,0,1,30,0.2316409827806884,0.862,29.857899382171226,1.1205088871601983,0.01289597370273036,0.0012170988727636105,0.1419181512844948,0.06209460445547589,nan,nan,nan,nan,nan,nan,20.012499226813997,
distributed,0,1,50,0.23352400434752793,0.8612,49.52084972462628,5.576923076923077,0.013076095872169173,0.0009820977372399459,0.12590923490473308,0.04384615292895163,nan,nan,nan,nan,nan,nan,19.894597055163974,
distributed,0,1,70,0.23645370131701546,0.8583,69.06351665375678,8.708578252508007,0.013258314945418778,0.000774884663423767,0.14296049208601777,0.04464584456105778,nan,nan,nan,nan,nan,nan,19.852145201410945,
distributed,0,1,100,0.24309591880491999,0.8522,99.29517638588914,2.83293314500742,0.013054392217726097,0.0007521336446260225,0.11581388285423111,0.06036187048612704,nan,nan,nan,nan,nan,nan,19.758882287889904,
distributed,0,2,-1,0.22280013980014277,0.8763,97.47626112759644,37.97021232784264,0.012858899425844157,0.002336348944075553,0.13948713526864595,0.04411624310041617,1e-05,0.0,5.2132580717199425e-17,2.2108326285252468e-17,0.0,0.0,19.947221974184963,
